日期,證券名稱,三大法人買賣超股數,投信買賣超股數,投信買進股數,投信賣出股數,外資買賣超股數,外資買進股數,外資賣出股數,自營商買賣超股數,自營商買進股數,自營商賣出股數
20130102,元大台灣50,"9,124,000","590,000","590,000",0,7582000.0,8025000.0,443000.0,9028000.0,5466000.0,3562000.0
20130103,元大台灣50,"7,641,000","987,000","987,000",0,-665000.0,2925000.0,3590000.0,30846000.0,22742000.0,8104000.0
20130104,元大台灣50,"-1,333,000","-65,000",0,"65,000",-621000.0,245000.0,866000.0,11726000.0,5216000.0,6510000.0
20130107,元大台灣50,"-2,906,000",0,0,0,-304000.0,675000.0,979000.0,12804000.0,3800000.0,9004000.0
20130108,元大台灣50,"-2,671,000","88,000","88,000",0,-1515000.0,2000000.0,3515000.0,17644000.0,7578000.0,10066000.0
20130109,元大台灣50,"3,449,000",0,0,0,-332000.0,513000.0,845000.0,13510000.0,10536000.0,2974000.0
20130110,元大台灣50,"7,124,000",0,0,0,648000.0,1079000.0,431000.0,23200000.0,18076000.0,5124000.0
20130111,元大台灣50,"3,920,000",0,0,0,6565000.0,6770000.0,205000.0,15610000.0,5160000.0,10450000.0
20130114,元大台灣50,"340,000",0,0,0,-147000.0,319000.0,466000.0,12514000.0,6744000.0,5770000.0
20130115,元大台灣50,"-2,376,900",0,0,0,-98900.0,240100.0,339000.0,8464000.0,1954000.0,6510000.0
20130116,元大台灣50,"-3,692,000",0,0,0,-2191000.0,250000.0,2441000.0,6590000.0,1794000.0,4796000.0
20130117,元大台灣50,"-810,000",0,0,0,-441000.0,415000.0,856000.0,17598000.0,8430000.0,9168000.0
20130118,元大台灣50,"1,946,000",0,0,0,72000.0,310000.0,238000.0,8360000.0,6054000.0,2306000.0
20130121,元大台灣50,"1,098,000",0,0,0,195000.0,318000.0,123000.0,8078000.0,4942000.0,3136000.0
20130122,元大台灣50,"6,027,000",0,0,0,468000.0,867000.0,399000.0,21262000.0,16190000.0,5072000.0
20130123,元大台灣50,"4,119,000",0,0,0,1027000.0,1270000.0,243000.0,8388000.0,7286000.0,1102000.0
20130124,元大台灣50,"-842,000","-115,000",0,"115,000",395000.0,1024000.0,629000.0,19908000.0,8832000.0,11076000.0
20130125,元大台灣50,"-4,884,800",0,0,0,-628800.0,1200200.0,1829000.0,11388000.0,1438000.0,9950000.0
20130128,元大台灣50,"4,839,000",0,0,0,671000.0,772000.0,101000.0,13772000.0,11054000.0,2718000.0
20130129,元大台灣50,"16,132,000",0,0,0,2226000.0,2749000.0,523000.0,31424000.0,29618000.0,1806000.0
20130130,元大台灣50,"14,739,000",0,0,0,7943000.0,11031000.0,3088000.0,17364000.0,15478000.0,1886000.0
